Ip Address,Frequency
24.64.208.134,3
207.68.178.56,6
123.112.87.126,1
192.168.17.24,1246
72.197.8.56,1
71.228.199.109,4
99.248.20.48,1
75.117.31.43,3
58.160.93.74,1
85.54.146.31,1
58.147.54.65,1
24.64.234.162,3
142.162.239.193,1
190.40.97.52,1
207.24.89.66,1
192.168.17.11,70
69.115.209.62,4
63.227.65.151,1
76.87.248.152,1
201.26.136.92,1
70.189.221.153,3
59.100.237.219,2
24.64.136.199,1
192.168.17.113,30
151.9.246.29,1
216.51.106.52,2
66.214.36.72,1
209.131.38.249,1
122.162.36.15,1
216.211.188.107,2
24.174.141.170,2
99.251.241.22,2
75.27.233.174,1
91.139.26.208,1
72.129.201.114,6
79.186.174.12,1
71.170.80.136,1
106.108.177.47,1
66.11.164.174,30
24.64.216.116,3
196.206.134.152,1
121.14.136.101,2
69.139.205.220,1
66.24.36.155,2
210.213.141.86,1
205.250.109.214,1
162.86.171.88,1
24.64.125.106,1
219.139.115.162,1
200.8.71.247,1
24.64.232.7,3
59.95.27.206,1
24.64.240.226,3
60.87.149.61,1
24.64.31.188,3
163.140.169.38,1
209.226.175.184,1
113.22.125.157,1
222.162.78.66,1
80.254.112.200,1
122.164.76.172,1
83.239.155.146,1
68.43.45.155,1
68.46.224.58,1
71.194.107.51,2
67.8.58.212,1
63.167.69.69,1
24.149.194.222,1
77.234.15.211,1
72.230.93.214,1
67.173.3.23,2
75.171.122.220,2
68.81.84.44,3
75.132.195.128,1
24.64.35.180,3
122.162.219.240,1
24.64.103.146,3
137.1.220.101,1
200.35.177.17,1
200.119.135.100,1
129.134.110.94,1
89.175.152.185,1
122.167.238.130,1
68.206.75.25,2
24.166.109.127,4
76.250.142.171,1
121.135.240.208,1
78.148.104.253,1
71.104.50.6,1
194.90.6.44,20
60.21.103.252,1
221.208.208.90,3
109.140.157.77,1
82.35.230.228,4
77.91.200.130,1
65.26.47.241,1
124.121.192.16,1
78.148.58.129,1
201.231.47.57,1
24.64.65.201,3
190.189.106.45,1
74.12.248.246,1
98.207.166.40,3
86.101.52.114,1
5.126.53.110,1
211.200.56.60,2
52.52.117.156,1
83.8.141.56,1
24.67.56.239,3
72.229.247.131,1
75.138.144.249,2
218.249.243.30,1
85.75.51.53,1
69.31.42.66,3
221.217.183.227,1
168.18.80.183,1
85.137.113.62,1
218.9.66.130,1
24.64.139.148,3
65.120.86.12,1
71.127.188.123,1
205.134.188.171,6
193.47.121.71,1
216.60.166.102,2
196.174.202.235,1
126.203.126.10,1
71.126.248.71,1
24.64.112.81,3
82.216.11.148,1
99.237.83.20,1
67.174.105.41,3
92.46.11.100,1
86.110.25.142,1
165.70.127.155,1
67.15.135.138,13
60.48.66.248,1
208.76.80.86,1
74.161.10.148,2
122.24.143.91,1
86.60.106.79,1
211.108.155.43,2
89.151.157.84,1
72.76.18.116,1
216.215.20.139,3
61.132.223.14,1
89.24.99.57,1
201.64.110.195,1
92.112.63.8,1
84.204.158.238,1
76.26.35.233,1
24.64.33.225,3
56.227.152.148,1
62.101.126.230,2
24.64.45.56,3
74.133.109.145,1
62.10.181.66,1
24.64.145.44,3
213.150.83.114,1
24.64.155.188,3
86.133.109.140,1
24.64.117.205,3
60.161.216.224,1
24.165.92.109,3
79.64.233.230,2
203.173.191.14,3
61.7.42.45,2
24.64.104.85,3
20.63.253.254,1
202.97.238.199,1
68.189.54.191,1
208.17.81.161,1
78.53.64.123,3
59.92.12.144,1
218.64.222.170,1
67.82.213.195,1
86.150.137.160,1
72.74.229.181,2
24.64.247.73,3
117.44.26.76,1
24.64.148.157,3
24.64.107.78,3
113.240.254.136,1
64.56.143.6,1
78.64.94.63,1
82.138.46.68,1
136.1.7.55,1
221.221.82.35,1
218.31.79.208,1
218.10.137.142,3
189.27.241.16,1
24.64.247.242,3
5.106.75.222,1
33.70.134.133,1
37.50.202.98,1
71.125.48.80,1
220.246.61.225,1
124.191.75.98,1
87.99.7.181,6
86.137.159.215,1
71.14.121.15,1
68.12.143.82,2
96.2.73.153,1
84.58.185.23,1
170.151.147.175,1
62.221.44.151,1
74.75.29.197,2
75.164.140.156,2
66.191.18.21,1
99.245.91.141,1
88.241.227.226,1
24.64.99.251,3
24.64.203.111,3
85.104.40.125,1
207.8.198.31,1
83.11.117.100,1
161.85.118.220,1
88.246.139.1,1
86.55.160.170,1
92.83.127.213,1
222.130.211.51,1
67.113.111.177,2
68.188.196.186,1
71.206.130.118,3
76.17.177.237,1
216.173.13.226,2
193.22.88.152,1
216.198.251.162,1
195.205.8.254,5
61.247.239.28,1
203.130.2.3,3
125.65.244.45,2
24.64.123.100,3
24.64.117.21,3
99.163.34.225,1
195.135.221.135,2
210.185.160.111,1
24.64.228.211,3
92.113.205.165,1
56.126.223.189,1
91.120.54.156,1
85.98.186.43,1
207.58.147.92,1
208.64.200.32,1
96.234.177.228,1
66.230.200.240,2
87.223.189.238,1
75.121.38.232,1
24.64.198.159,3
198.173.64.82,1
77.49.33.205,1
88.252.39.9,1
88.227.145.120,1
209.200.225.222,1
72.44.69.122,1
123.7.11.116,1
85.18.14.45,1
59.96.104.144,1
35.248.242.23,1
88.204.214.253,1
61.17.32.97,1
221.128.153.121,1
88.141.131.95,1
222.112.147.208,1
172.185.75.116,1
89.21.232.5,1
88.231.183.155,1
125.76.214.6,1
185.79.236.96,1
62.189.181.120,1
104.214.116.160,1
124.253.3.84,1
91.124.139.216,1
219.153.13.152,1
64.74.133.20,7
64.74.133.12,4
66.98.0.101,1
222.117.164.222,1
115.187.206.140,1
24.64.129.184,3
24.64.139.166,2
66.167.81.195,1
77.51.81.204,1
87.106.95.209,1
124.125.41.87,1
122.163.97.121,1
70.85.185.66,3
220.64.219.189,1
24.64.118.104,3
42.201.28.114,1
24.64.122.10,3
80.207.16.18,5
80.145.197.50,1
189.26.72.76,1
62.139.173.49,1
62.43.240.58,1
82.31.90.79,1
11.216.73.107,1
76.97.188.68,1
65.100.199.179,1
89.218.72.48,1
89.239.170.230,1
91.163.121.22,1
89.106.9.10,1
78.176.73.68,1
85.100.152.76,1
62.57.158.240,1
88.253.77.212,1
87.226.215.54,1
62.193.216.46,1
211.116.81.90,1
24.64.37.74,3
213.217.179.196,1
24.64.105.94,3
129.197.76.182,1
82.0.207.55,1
69.72.133.211,1
128.121.79.163,1
24.64.71.104,3
212.83.88.47,1
203.130.172.230,1
212.182.187.71,1
78.3.77.4,1
68.119.100.24,1
81.27.145.12,1
217.30.253.42,1
172.210.174.157,1
87.88.189.78,1
164.173.192.88,1
24.64.103.99,3
24.65.2.194,3
139.195.225.120,1
205.214.70.29,1
24.64.181.70,3
202.213.57.37,1
78.62.67.99,1
91.127.44.141,1
88.249.64.131,1
62.202.74.126,2
81.154.43.76,1
218.27.4.98,1
89.110.10.82,1
87.235.99.242,1
81.23.126.18,1
24.64.44.212,3
103.226.196.33,1
122.164.76.115,1
218.16.119.142,1
99.233.139.230,5
79.72.34.118,1
217.136.233.230,1
201.235.46.177,1
24.64.97.160,3
89.138.226.129,1
195.210.44.163,2
54.247.102.222,1
216.205.91.75,1
210.17.245.163,1
221.208.208.96,4
190.50.215.123,1
205.120.249.95,1
194.213.42.149,1
201.68.29.229,2
24.64.158.1,3
23.118.142.54,1
124.64.197.227,1
24.64.92.58,3
77.103.133.38,1
82.82.135.131,1
201.229.180.239,1
58.187.204.115,1
77.42.129.124,1
216.58.112.55,10
24.64.87.149,3
190.64.178.15,1
189.13.197.253,1
50.175.203.207,1
41.196.235.213,1
111.58.183.137,1
189.13.212.7,1
199.89.242.208,1
213.140.232.7,1
24.64.138.162,3
69.147.103.130,1
82.158.227.219,1
87.18.196.127,1
84.30.36.133,1
195.56.207.203,1
24.64.54.240,3
89.229.17.127,1
104.215.205.113,1
24.64.237.40,3
81.183.226.220,1
190.42.207.84,1
217.129.202.86,1
88.130.115.204,1
67.15.159.106,1
90.133.233.106,1
216.67.250.37,1
78.37.28.42,1
61.78.175.216,1
24.64.252.125,3
124.120.198.32,1
89.141.6.74,1
86.21.44.73,1
210.111.249.120,1
122.127.77.194,1
221.150.144.60,3
71.4.79.129,5
221.135.220.37,1
190.5.198.246,1
201.231.210.32,1
221.209.110.13,3
89.132.192.77,1
81.105.156.28,1
79.125.130.64,1
192.168.17.13,1
41.249.69.53,1
213.47.147.194,1
207.58.137.251,1
89.130.106.209,1
85.103.174.82,1
200.121.27.25,1
159.228.23.116,1
200.153.194.87,1
89.107.90.186,1
77.197.242.140,1
190.9.91.197,1
86.101.56.38,1
85.96.142.122,1
202.86.169.149,1
190.65.147.187,1
24.64.36.35,3
200.88.168.108,1
67.43.2.249,1
88.18.50.173,1
195.204.1.164,1
64.239.158.182,1
69.147.64.110,1
149.232.181.220,1
190.82.220.164,1
209.37.71.29,1
65.44.117.52,1
85.75.56.43,1
218.15.95.162,1
89.136.134.218,1
59.182.71.143,1
59.16.75.200,1
11.140.195.161,1
118.169.147.144,2
200.94.94.98,1
66.163.168.153,1
35.72.188.227,1
84.120.201.9,1
24.64.45.233,3
80.39.134.70,1
